"","study","subj","resp","rt","evidence","absevi","signevi","prevsignevi","prevabsevi","prevsignabsevi","prevresp","prevconf","conf","prevrespconf","accuracy"
"143","Law_unpub",2,"1",0.880884170532227,-0.505,0.505,-1,"-1",1,-1,"-1",0.01,0.01,-0.01,0
"144","Law_unpub",2,"1",0.654372930526733,1,1,1,"-1",0.505,-0.505,"1",0.01,1,0.01,1
"145","Law_unpub",2,"1",1.33008980751038,1,1,1,"1",1,1,"1",1,1,1,1
"146","Law_unpub",2,"0",0.372262001037598,-0.505,0.505,-1,"1",1,1,"1",1,1,1,1
"147","Law_unpub",2,"0",0.468746185302734,-0.2575,0.2575,-1,"-1",0.505,-0.505,"-1",1,0.67,-1,1
"148","Law_unpub",2,"1",0.947991847991943,0.01,0.01,1,"-1",0.2575,-0.2575,"-1",0.67,0.67,-0.67,1
"149","Law_unpub",2,"0",0.69202184677124,0.01,0.01,1,"1",0.01,0.01,"1",0.67,0.67,0.67,0
"150","Law_unpub",2,"1",0.637074947357178,0.505,0.505,1,"1",0.01,0.01,"-1",0.67,1,-0.67,1
"151","Law_unpub",2,"0",0.269652128219604,0.7525,0.7525,1,"1",0.505,0.505,"1",1,1,1,0
"152","Law_unpub",2,"1",1.60529088973999,-0.01,0.01,-1,"1",0.7525,0.7525,"-1",1,0.01,-1,0
"153","Law_unpub",2,"0",0.913646936416626,0.505,0.505,1,"-1",0.01,-0.01,"1",0.01,0.01,0.01,0
"154","Law_unpub",2,"1",0.564455032348633,1,1,1,"1",0.505,0.505,"-1",0.01,0.34,-0.01,1
"155","Law_unpub",2,"0",0.810497045516968,0.505,0.505,1,"1",1,1,"1",0.34,0.01,0.34,0
"156","Law_unpub",2,"0",0.589421987533569,-0.01,0.01,-1,"1",0.505,0.505,"-1",0.01,0.01,-0.01,1
"157","Law_unpub",2,"0",0.734631061553955,-0.505,0.505,-1,"-1",0.01,-0.01,"-1",0.01,0.01,-0.01,1
"158","Law_unpub",2,"1",0.61398983001709,0.7525,0.7525,1,"-1",0.505,-0.505,"-1",0.01,1,-0.01,1
"159","Law_unpub",2,"0",0.3073890209198,-1,1,-1,"1",0.7525,0.7525,"1",1,1,1,1
"160","Law_unpub",2,"1",0.234308004379272,1,1,1,"-1",1,-1,"-1",1,1,-1,1
"161","Law_unpub",2,"0",0.157719850540161,-0.505,0.505,-1,"1",1,1,"1",1,1,1,1
"162","Law_unpub",2,"0",0.373564958572388,-1,1,-1,"-1",0.505,-0.505,"-1",1,1,-1,1
