"","study","subj","resp","rt","evidence","absevi","signevi","prevsignevi","prevabsevi","prevsignabsevi","prevresp","prevconf","conf","prevrespconf","accuracy"
"133","Wang_2018",3,"1",0.83297,0.34,0.34,1,"1",0.67,0.67,"1",1,0.505,1,1
"134","Wang_2018",3,"0",0.10122,-0.34,0.34,-1,"1",0.34,0.34,"1",0.505,1,0.505,1
"135","Wang_2018",3,"0",0.25978,-0.67,0.67,-1,"-1",0.34,-0.34,"-1",1,1,-1,1
"136","Wang_2018",3,"1",0.16279,-0.34,0.34,-1,"-1",0.67,-0.67,"-1",1,0.505,-1,0
"137","Wang_2018",3,"0",0.00048614,1e-05,0.01,0.001,"-1",0.34,-0.34,"1",0.505,1,0.505,0
"138","Wang_2018",3,"1",0.49819,1,1,1,"0.001",0.01,1e-05,"-1",1,0.505,-1,1
"139","Wang_2018",3,"0",0.301,-0.67,0.67,-1,"1",1,1,"1",0.505,1,0.505,1
"140","Wang_2018",3,"1",0.00055046,-0.34,0.34,-1,"-1",0.67,-0.67,"-1",1,1,-1,0
"141","Wang_2018",3,"0",1.0695,1e-05,0.01,0.001,"-1",0.34,-0.34,"1",1,0.505,1,0
"142","Wang_2018",3,"1",0.57232,1,1,1,"0.001",0.01,1e-05,"-1",0.505,1,-0.505,1
"143","Wang_2018",3,"1",0.47752,1,1,1,"1",1,1,"1",1,1,1,1
"144","Wang_2018",3,"0",0.98566,0.67,0.67,1,"1",1,1,"1",1,0.505,1,0
"145","Wang_2018",3,"1",0.50179,1,1,1,"1",0.67,0.67,"-1",0.505,1,-0.505,1
"146","Wang_2018",3,"0",0.36988,-1,1,-1,"1",1,1,"1",1,1,1,1
"147","Wang_2018",3,"0",0.23421,-1,1,-1,"-1",1,-1,"-1",1,1,-1,1
"148","Wang_2018",3,"0",0.19182,-1,1,-1,"-1",1,-1,"-1",1,1,-1,1
"149","Wang_2018",3,"1",0.28274,1,1,1,"-1",1,-1,"-1",1,1,-1,1
"150","Wang_2018",3,"0",0.89908,-0.34,0.34,-1,"1",1,1,"1",1,1,1,1
"151","Wang_2018",3,"1",0.035258,-0.34,0.34,-1,"-1",0.34,-0.34,"-1",1,0.505,-1,0
"152","Wang_2018",3,"1",0.015479,1e-05,0.01,0.001,"-1",0.34,-0.34,"1",0.505,0.505,0.505,0
"153","Wang_2018",3,"1",0.52897,1,1,1,"0.001",0.01,1e-05,"1",0.505,1,0.505,1
"154","Wang_2018",3,"1",0.67692,0.67,0.67,1,"1",1,1,"1",1,1,1,1
"155","Wang_2018",3,"0",1.249,-1,1,-1,"1",0.67,0.67,"1",1,1,1,1
"156","Wang_2018",3,"1",0.21681,0.34,0.34,1,"-1",1,-1,"-1",1,0.505,-1,1
"157","Wang_2018",3,"0",0.90634,1e-05,0.01,0.001,"1",0.34,0.34,"1",0.505,0.505,0.505,0
"158","Wang_2018",3,"0",0.68933,0.34,0.34,1,"0.001",0.01,1e-05,"-1",0.505,1,-0.505,0
"159","Wang_2018",3,"0",0.23469,1e-05,0.01,0.001,"1",0.34,0.34,"-1",1,1,-1,0
"160","Wang_2018",3,"0",0.65889,-0.67,0.67,-1,"0.001",0.01,1e-05,"-1",1,1,-1,1
"161","Wang_2018",3,"0",0.65516,-0.67,0.67,-1,"-1",0.67,-0.67,"-1",1,1,-1,1
