Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
136,Wang_2018,3,1,0.16279,-0.34,0.34,-1.0,-1.0,0.67,-0.67,-1,1.0,0.505,-1.0,0,-0.42919517
137,Wang_2018,3,0,0.00048614,1e-05,0.01,0.001,-1.0,0.34,-0.34,1,0.505,1.0,0.505,0,-0.4729603
138,Wang_2018,3,1,0.49819,1.0,1.0,1.0,0.001,0.01,1e-05,-1,1.0,0.505,-1.0,1,-0.4660355
139,Wang_2018,3,0,0.301,-0.67,0.67,-1.0,1.0,1.0,1.0,1,0.505,1.0,0.505,1,-0.46410438
140,Wang_2018,3,1,0.00055046,-0.34,0.34,-1.0,-1.0,0.67,-0.67,-1,1.0,1.0,-1.0,0,-0.43970942
141,Wang_2018,3,0,1.0695,1e-05,0.01,0.001,-1.0,0.34,-0.34,1,1.0,0.505,1.0,0,-0.50884974
142,Wang_2018,3,1,0.57232,1.0,1.0,1.0,0.001,0.01,1e-05,-1,0.505,1.0,-0.505,1,-0.52502877
143,Wang_2018,3,1,0.47752,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,-0.5552427
144,Wang_2018,3,0,0.98566,0.67,0.67,1.0,1.0,1.0,1.0,1,1.0,0.505,1.0,0,-0.60124236
145,Wang_2018,3,1,0.50179,1.0,1.0,1.0,1.0,0.67,0.67,-1,0.505,1.0,-0.505,1,-0.56312644
146,Wang_2018,3,0,0.36988,-1.0,1.0,-1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,-0.5444681
147,Wang_2018,3,0,0.23421,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.5181508
148,Wang_2018,3,0,0.19182,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.48018664
149,Wang_2018,3,1,0.28274,1.0,1.0,1.0,-1.0,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.43536827
150,Wang_2018,3,0,0.89908,-0.34,0.34,-1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,-0.39346996
151,Wang_2018,3,1,0.035258,-0.34,0.34,-1.0,-1.0,0.34,-0.34,-1,1.0,0.505,-1.0,0,-0.31733197
152,Wang_2018,3,1,0.015479,1e-05,0.01,0.001,-1.0,0.34,-0.34,1,0.505,0.505,0.505,0,-0.31453076
153,Wang_2018,3,1,0.52897,1.0,1.0,1.0,0.001,0.01,1e-05,1,0.505,1.0,0.505,1,-0.37015596
154,Wang_2018,3,1,0.67692,0.67,0.67,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,-0.42703962
