Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
3742,Recht_unpub,3,1,1.351639032,0.01,0.01,1,-1,0.01,-0.01,-1,0.01,1.0,-0.01,1,-0.028949523
3743,Recht_unpub,3,0,1.500808954,0.01,0.01,1,1,0.01,0.01,1,1.0,1.0,1.0,0,-0.056008227
3744,Recht_unpub,3,1,3.012093067,0.01,0.01,1,1,0.01,0.01,-1,1.0,1.0,-1.0,1,-0.009823544
3745,Recht_unpub,3,0,2.191900969,-1.0,1.0,-1,1,0.01,0.01,1,1.0,0.01,1.0,1,-0.031269364
3746,Recht_unpub,3,1,1.191484928,-0.01,0.01,-1,-1,1.0,-1.0,-1,0.01,1.0,-0.01,0,-0.014219437
3747,Recht_unpub,3,1,1.491462946,1.0,1.0,1,-1,0.01,-0.01,1,1.0,1.0,1.0,1,-0.06914234
3748,Recht_unpub,3,0,0.981332064,-1.0,1.0,-1,1,1.0,1.0,1,1.0,1.0,1.0,1,-0.14742272
3749,Recht_unpub,3,0,1.011142969,-0.01,0.01,-1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.20068508
3750,Recht_unpub,3,0,2.732000113,1.0,1.0,1,-1,0.01,-0.01,-1,1.0,0.01,-1.0,0,-0.20873097
3751,Recht_unpub,3,1,1.241562843,0.01,0.01,1,1,1.0,1.0,-1,0.01,1.0,-0.01,1,-0.12941006
3752,Recht_unpub,3,1,4.24271512,1.0,1.0,1,1,0.01,0.01,1,1.0,0.01,1.0,1,-0.12267352
3753,Recht_unpub,3,0,1.351226091,1.0,1.0,1,1,1.0,1.0,1,0.01,1.0,0.01,0,-0.14793444
3754,Recht_unpub,3,1,4.432914972,0.01,0.01,1,1,1.0,1.0,-1,1.0,0.01,-1.0,1,-0.06886965
3755,Recht_unpub,3,1,1.231549025,0.01,0.01,1,1,0.01,0.01,1,0.01,1.0,0.01,1,-0.056864496
3756,Recht_unpub,3,0,1.281409979,-1.0,1.0,-1,1,0.01,0.01,1,1.0,1.0,1.0,1,-0.109567225
3757,Recht_unpub,3,0,1.001144171,-1.0,1.0,-1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.14375432
3758,Recht_unpub,3,0,0.901371002,-0.01,0.01,-1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.15880658
3759,Recht_unpub,3,1,1.891808987,1.0,1.0,1,-1,0.01,-0.01,-1,1.0,0.01,-1.0,1,-0.1309824
3760,Recht_unpub,3,0,1.081451893,-1.0,1.0,-1,1,1.0,1.0,1,0.01,1.0,0.01,1,-0.14176631
3761,Recht_unpub,3,0,2.111725092,0.01,0.01,1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,0,-0.13688034
3762,Recht_unpub,3,1,1.621596813,1.0,1.0,1,1,0.01,0.01,-1,1.0,0.01,-1.0,1,-0.07649679
