Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
103,Law_unpub,2,0,0.225870847702026,-0.01,0.01,-1,1,0.505,0.505,1,1.0,1.0,1.0,1,-0.5623701
104,Law_unpub,2,1,0.300191164016724,-0.505,0.505,-1,-1,0.01,-0.01,-1,1.0,1.0,-1.0,0,-0.26355067
105,Law_unpub,2,0,0.217000961303711,1.0,1.0,1,-1,0.505,-0.505,1,1.0,1.0,1.0,0,-0.8987117
106,Law_unpub,2,1,0.337181091308594,0.505,0.505,1,1,1.0,1.0,-1,1.0,1.0,-1.0,1,-0.65139437
107,Law_unpub,2,0,0.307292938232422,0.2575,0.2575,1,1,0.505,0.505,1,1.0,1.0,1.0,0,-0.540845
108,Law_unpub,2,1,0.961269855499268,-0.2575,0.2575,-1,1,0.2575,0.2575,-1,1.0,0.01,-1.0,0,-0.005366681
109,Law_unpub,2,1,1.40350794792175,0.7525,0.7525,1,-1,0.2575,-0.2575,1,0.01,0.67,0.01,1,0.12155527
110,Law_unpub,2,0,0.592172861099243,-0.01,0.01,-1,1,0.7525,0.7525,1,0.67,0.67,0.67,1,-0.30992958
111,Law_unpub,2,1,0.865411043167114,0.01,0.01,1,-1,0.01,-0.01,-1,0.67,0.34,-0.67,1,-0.35062402
112,Law_unpub,2,0,0.804739952087402,0.505,0.505,1,1,0.01,0.01,1,0.34,0.67,0.34,0,-0.8190693
113,Law_unpub,2,1,0.4706711769104,0.01,0.01,1,1,0.505,0.505,-1,0.67,1.0,-0.67,1,-0.73469096
114,Law_unpub,2,0,0.261934041976929,0.505,0.505,1,1,0.01,0.01,1,1.0,1.0,1.0,0,-1.1699796
115,Law_unpub,2,0,0.309505939483643,-1.0,1.0,-1,1,0.505,0.505,-1,1.0,1.0,-1.0,1,-1.2904667
116,Law_unpub,2,0,0.252464056015015,-1.0,1.0,-1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-1.2720957
117,Law_unpub,2,0,0.225916862487793,-0.505,0.505,-1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-1.2129221
118,Law_unpub,2,1,0.308206081390381,1.0,1.0,1,-1,0.505,-0.505,-1,1.0,1.0,-1.0,1,-0.8475167
119,Law_unpub,2,0,0.419169902801514,-0.505,0.505,-1,1,1.0,1.0,1,1.0,1.0,1.0,1,-0.5676478
120,Law_unpub,2,1,1.88315081596375,1.0,1.0,1,-1,0.505,-0.505,-1,1.0,1.0,-1.0,1,-0.15052612
121,Law_unpub,2,1,0.655651092529297,0.505,0.505,1,1,1.0,1.0,1,1.0,1.0,1.0,1,0.29730362
122,Law_unpub,2,1,0.827380180358887,0.7525,0.7525,1,1,0.505,0.505,1,1.0,0.01,1.0,1,0.118984915
123,Law_unpub,2,0,0.648493051528931,-1.0,1.0,-1,1,0.7525,0.7525,1,0.01,1.0,0.01,1,-0.55873674
124,Law_unpub,2,0,1.05913305282593,-1.0,1.0,-1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-1.1732708
125,Law_unpub,2,0,0.33903694152832,-0.505,0.505,-1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-1.7006854
126,Law_unpub,2,0,0.31024694442749,-0.01,0.01,-1,-1,0.505,-0.505,-1,1.0,1.0,-1.0,1,-2.1420202
127,Law_unpub,2,0,1.60421705245972,-0.505,0.505,-1,-1,0.01,-0.01,-1,1.0,0.01,-1.0,1,-2.109842
128,Law_unpub,2,0,0.671534061431885,0.2575,0.2575,1,-1,0.505,-0.505,-1,0.01,1.0,-0.01,0,-2.0216644
129,Law_unpub,2,1,0.644289970397949,0.01,0.01,1,1,0.2575,0.2575,-1,1.0,1.0,-1.0,1,-1.222979
130,Law_unpub,2,0,0.685999870300293,-0.01,0.01,-1,1,0.01,0.01,1,1.0,0.67,1.0,1,-1.1644365
131,Law_unpub,2,1,0.357912063598633,0.505,0.505,1,-1,0.01,-0.01,-1,0.67,0.67,-0.67,1,-1.039141
132,Law_unpub,2,0,0.664557933807373,-0.2575,0.2575,-1,1,0.505,0.505,1,0.67,0.67,0.67,1,-1.211377
133,Law_unpub,2,0,0.541329145431519,-0.7525,0.7525,-1,-1,0.2575,-0.2575,-1,0.67,0.34,-0.67,1,-1.356402
134,Law_unpub,2,0,0.231130838394165,-1.0,1.0,-1,-1,0.7525,-0.7525,-1,0.34,0.67,-0.34,1,-1.3275995
135,Law_unpub,2,1,0.818492889404297,0.505,0.505,1,-1,1.0,-1.0,-1,0.67,1.0,-0.67,1,-1.2432821
136,Law_unpub,2,0,0.374487161636353,-0.01,0.01,-1,1,0.505,0.505,1,1.0,1.0,1.0,1,-1.6997889
137,Law_unpub,2,0,0.855000019073486,-0.01,0.01,-1,-1,0.01,-0.01,-1,1.0,0.01,-1.0,1,-2.1918857
138,Law_unpub,2,0,0.776351928710938,-0.505,0.505,-1,-1,0.01,-0.01,-1,0.01,0.01,-0.01,1,-2.1229622
139,Law_unpub,2,0,0.308963060379028,-0.01,0.01,-1,-1,0.505,-0.505,-1,0.01,0.01,-0.01,1,-2.0766082
140,Law_unpub,2,0,0.690867900848389,-0.505,0.505,-1,-1,0.01,-0.01,-1,0.01,0.01,-0.01,1,-1.6761751
141,Law_unpub,2,0,0.675890922546387,-1.0,1.0,-1,-1,0.505,-0.505,-1,0.01,1.0,-0.01,1,-1.1267108
142,Law_unpub,2,0,0.938765048980713,-1.0,1.0,-1,-1,1.0,-1.0,-1,1.0,0.01,-1.0,1,-0.53298336
143,Law_unpub,2,1,0.880884170532227,-0.505,0.505,-1,-1,1.0,-1.0,-1,0.01,0.01,-0.01,0,0.35121784
144,Law_unpub,2,1,0.654372930526733,1.0,1.0,1,-1,0.505,-0.505,1,0.01,1.0,0.01,1,0.28767797
145,Law_unpub,2,1,1.33008980751038,1.0,1.0,1,1,1.0,1.0,1,1.0,1.0,1.0,1,0.00966305
146,Law_unpub,2,0,0.372262001037598,-0.505,0.505,-1,1,1.0,1.0,1,1.0,1.0,1.0,1,-0.53257304
147,Law_unpub,2,0,0.468746185302734,-0.2575,0.2575,-1,-1,0.505,-0.505,-1,1.0,0.67,-1.0,1,-0.96843296
148,Law_unpub,2,1,0.947991847991943,0.01,0.01,1,-1,0.2575,-0.2575,-1,0.67,0.67,-0.67,1,-0.626907
149,Law_unpub,2,0,0.69202184677124,0.01,0.01,1,1,0.01,0.01,1,0.67,0.67,0.67,0,-0.8809656
150,Law_unpub,2,1,0.637074947357178,0.505,0.505,1,1,0.01,0.01,-1,0.67,1.0,-0.67,1,-0.9744714
151,Law_unpub,2,0,0.269652128219604,0.7525,0.7525,1,1,0.505,0.505,1,1.0,1.0,1.0,0,-1.3220538
152,Law_unpub,2,1,1.60529088973999,-0.01,0.01,-1,1,0.7525,0.7525,-1,1.0,0.01,-1.0,0,-1.1004071
153,Law_unpub,2,0,0.913646936416626,0.505,0.505,1,-1,0.01,-0.01,1,0.01,0.01,0.01,0,-1.4916226
154,Law_unpub,2,1,0.564455032348633,1.0,1.0,1,1,0.505,0.505,-1,0.01,0.34,-0.01,1,-1.5929401
155,Law_unpub,2,0,0.810497045516968,0.505,0.505,1,1,1.0,1.0,1,0.34,0.01,0.34,0,-1.918754
156,Law_unpub,2,0,0.589421987533569,-0.01,0.01,-1,1,0.505,0.505,-1,0.01,0.01,-0.01,1,-2.035796
157,Law_unpub,2,0,0.734631061553955,-0.505,0.505,-1,-1,0.01,-0.01,-1,0.01,0.01,-0.01,1,-1.6464392
158,Law_unpub,2,1,0.61398983001709,0.7525,0.7525,1,-1,0.505,-0.505,-1,0.01,1.0,-0.01,1,-1.1008242
159,Law_unpub,2,0,0.3073890209198,-1.0,1.0,-1,1,0.7525,0.7525,1,1.0,1.0,1.0,1,-0.8456733
160,Law_unpub,2,1,0.234308004379272,1.0,1.0,1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.5860364
161,Law_unpub,2,0,0.157719850540161,-0.505,0.505,-1,1,1.0,1.0,1,1.0,1.0,1.0,1,-0.39065266
162,Law_unpub,2,0,0.373564958572388,-1.0,1.0,-1,-1,0.505,-0.505,-1,1.0,1.0,-1.0,1,-0.05254834
163,Law_unpub,2,1,0.141983032226562,0.505,0.505,1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,0.70950073
164,Law_unpub,2,1,0.146522045135498,0.01,0.01,1,1,0.505,0.505,1,1.0,1.0,1.0,1,1.5869839
165,Law_unpub,2,1,0.247064113616943,0.01,0.01,1,1,0.01,0.01,1,1.0,1.0,1.0,1,1.813509
166,Law_unpub,2,1,0.708635091781616,0.505,0.505,1,1,0.01,0.01,1,1.0,0.34,1.0,1,1.3738639
167,Law_unpub,2,0,0.568803071975708,-0.2575,0.2575,-1,1,0.505,0.505,1,0.34,1.0,0.34,1,0.6136066
168,Law_unpub,2,1,0.213699102401733,0.2575,0.2575,1,-1,0.2575,-0.2575,-1,1.0,0.34,-1.0,1,0.3979226
169,Law_unpub,2,0,1.07792496681213,0.01,0.01,1,1,0.2575,0.2575,1,0.34,0.34,0.34,0,0.14799179
170,Law_unpub,2,1,0.377005100250244,0.01,0.01,1,1,0.01,0.01,-1,0.34,0.34,-0.34,1,0.43540904
171,Law_unpub,2,1,0.761462926864624,0.505,0.505,1,1,0.01,0.01,1,0.34,0.01,0.34,1,0.5703369
172,Law_unpub,2,0,0.627992153167725,-1.0,1.0,-1,1,0.505,0.505,1,0.01,1.0,0.01,1,0.10671589
173,Law_unpub,2,1,0.347487926483154,0.505,0.505,1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.19747882
174,Law_unpub,2,0,0.791792869567871,-0.7525,0.7525,-1,1,0.505,0.505,1,1.0,0.01,1.0,1,-0.6291173
175,Law_unpub,2,0,0.327577114105225,0.01,0.01,1,-1,0.7525,-0.7525,-1,0.01,0.01,-0.01,0,-1.0141793
176,Law_unpub,2,0,0.408636808395386,-0.505,0.505,-1,1,0.01,0.01,-1,0.01,0.01,-0.01,1,-0.5976542
177,Law_unpub,2,1,0.358412027359009,-1.0,1.0,-1,-1,0.505,-0.505,-1,0.01,0.01,-0.01,0,0.40369967
178,Law_unpub,2,0,0.564750909805298,-1.0,1.0,-1,-1,1.0,-1.0,1,0.01,0.01,0.01,1,0.01453455
179,Law_unpub,2,1,0.754776000976562,0.505,0.505,1,-1,1.0,-1.0,-1,0.01,0.67,-0.01,1,-0.22938
180,Law_unpub,2,0,1.33603978157043,0.2575,0.2575,1,1,0.505,0.505,1,0.67,1.0,0.67,0,-0.69750845
181,Law_unpub,2,0,0.515236139297485,-1.0,1.0,-1,1,0.2575,0.2575,-1,1.0,1.0,-1.0,1,-0.7627803
182,Law_unpub,2,0,1.50376677513123,-1.0,1.0,-1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.5833478
183,Law_unpub,2,1,0.340342998504639,0.505,0.505,1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.19134413
184,Law_unpub,2,0,0.183501005172729,-1.0,1.0,-1,1,0.505,0.505,1,1.0,1.0,1.0,1,0.075808704
185,Law_unpub,2,1,0.115386962890625,0.505,0.505,1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,0.497925
186,Law_unpub,2,1,0.692862987518311,-0.01,0.01,-1,1,0.505,0.505,1,1.0,0.01,1.0,0,0.9945255
187,Law_unpub,2,0,0.62296199798584,-0.505,0.505,-1,-1,0.01,-0.01,1,0.01,1.0,0.01,1,0.49069455
188,Law_unpub,2,1,0.341388940811157,-0.7525,0.7525,-1,-1,0.505,-0.505,-1,1.0,1.0,-1.0,0,0.38935125
189,Law_unpub,2,0,0.336616039276123,0.01,0.01,1,-1,0.7525,-0.7525,1,1.0,1.0,1.0,0,-0.68030685
190,Law_unpub,2,0,0.571881055831909,-0.01,0.01,-1,1,0.01,0.01,-1,1.0,0.01,-1.0,1,-1.6120976
191,Law_unpub,2,0,0.522929906845093,-0.505,0.505,-1,-1,0.01,-0.01,-1,0.01,0.01,-0.01,1,-1.6975541
192,Law_unpub,2,0,0.513528823852539,-1.0,1.0,-1,-1,0.505,-0.505,-1,0.01,1.0,-0.01,1,-1.6287969
193,Law_unpub,2,0,0.255054950714111,-1.0,1.0,-1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-1.6494395
194,Law_unpub,2,0,0.293559074401855,-0.505,0.505,-1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-1.6854484
195,Law_unpub,2,0,0.249431848526001,-1.0,1.0,-1,-1,0.505,-0.505,-1,1.0,1.0,-1.0,1,-1.5401882
196,Law_unpub,2,1,0.301839113235474,0.505,0.505,1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-1.3753238
197,Law_unpub,2,0,0.778720855712891,-0.2575,0.2575,-1,1,0.505,0.505,1,1.0,1.0,1.0,1,-1.761471
198,Law_unpub,2,0,1.37644791603088,-0.01,0.01,-1,-1,0.2575,-0.2575,-1,1.0,0.01,-1.0,1,-2.2239602
199,Law_unpub,2,0,0.673996925354004,0.01,0.01,1,-1,0.01,-0.01,-1,0.01,0.01,-0.01,0,-2.1692977
200,Law_unpub,2,1,0.415751934051514,0.505,0.505,1,1,0.01,0.01,-1,0.01,1.0,-0.01,1,-1.712205
201,Law_unpub,2,0,0.910646200180054,-0.01,0.01,-1,1,0.505,0.505,1,1.0,0.34,1.0,1,-1.9136837
