"study","subj","mean_conf","sd_conf","sd_criterion_fluctuations","a","sigmasq","mu_x"
"Maniscalco_2017_expt2","20_Maniscalco_2017_expt2",0.422337917485265,0.379918448248143,0.185074075760573,0.86507654,0.05446257,-0.10900384
"Maniscalco_2017_expt2","21_Maniscalco_2017_expt2",0.143555992141454,0.231791480986513,0.727459288478598,0.9403481,0.12655908,-0.98680353
"Maniscalco_2017_expt2","22_Maniscalco_2017_expt2",0.218762278978389,0.276368891598919,0.616076076887474,0.9371999,0.08820594,0.37099904
"Maniscalco_2017_expt2","23_Maniscalco_2017_expt2",0.586200787401575,0.250542478572793,1.02680044688369,0.89698446,0.43468976,0.32140005
"Maniscalco_2017_expt2","24_Maniscalco_2017_expt2",0.444381139489194,0.382382528044649,0.356147011258674,0.88365495,0.11973451,0.1984888
"Maniscalco_2017_expt2","25_Maniscalco_2017_expt2",0.223720472440945,0.271004662751238,1.01753455338165,0.96303546,0.110028915,0.25735447
"Maniscalco_2017_expt2","26_Maniscalco_2017_expt2",0.21434869739479,0.261894025467572,0.573407515594562,0.9064664,0.13755883,0.056761984
"Maniscalco_2017_expt2","27_Maniscalco_2017_expt2",0.502730844793713,0.360197627638182,0.799785782812172,0.9381555,0.14991076,-0.085264124
"Maniscalco_2017_expt2","28_Maniscalco_2017_expt2",0.329626719056974,0.307642256565713,0.404191343135185,0.8851515,0.13499266,-0.7917678
"Maniscalco_2017_expt2","29_Maniscalco_2017_expt2",0.376306483300589,0.320053687021403,0.307542209007842,0.8866967,0.07450601,0.55554384
"Maniscalco_2017_expt2","30_Maniscalco_2017_expt2",0.398666666666667,0.341927496635567,0.324471949421875,0.9012706,0.064100854,0.4729203
"Maniscalco_2017_expt2","31_Maniscalco_2017_expt2",0.760766208251474,0.369674791051993,0.353618957928493,0.90157515,0.07987722,-0.7809682
"Maniscalco_2017_expt2","32_Maniscalco_2017_expt2",0.761485148514851,0.377401269909093,0.299233509208309,0.8913814,0.08131195,1.1521873
"Maniscalco_2017_expt2","33_Maniscalco_2017_expt2",0.627125984251969,0.376350700775718,0.192146955204487,0.8615065,0.07593606,0.15410163
"Maniscalco_2017_expt2","34_Maniscalco_2017_expt2",0.36603550295858,0.294447064573351,0.529699977880147,0.9300935,0.08467233,0.75609094
"Maniscalco_2017_expt2","35_Maniscalco_2017_expt2",0.23585798816568,0.234498463107751,0.572203671950465,0.94179124,0.0685074,-0.76458585
